Name,Thoughts,City,Visit again?,Location,coordinates
Brewlab,"Vibe: 5 / 5. This place is awesome. There’s two rooms, one with a coffee bar and one a makerspace with a bike fixing shop (!!!). Great spot to work. 

Taste: 4 / 5. The coffee was super well made, slightly on the acidic side but generally very balanced. Smooth taste. ",Chicago Area,4 - Would come again if I’m anywhere in the city,"630 S 5th St, Champaign, IL 61820","{'lat': 40.361613, 'lon': -88.427752}"
Well Coffeehouse,Vibe: 5/5. Honestly didn’t expect such a cool vibe from a coffee shop off the highway but here we are. Good vibes great merch. Taste: 5/5. The coffee is incredible. So much so I bought merch. ,Nashville,4 - Would come again if I’m anywhere in the city,"7618 Hwy 70S
Unit 107
Nashville, TN 37221
United States",
Pink Hermit Cafe,Vibe: 5/5. Super pink super cute. It’s located on the outside of a hotel but the hotel vibe doesn’t come through. Everyone super friendly as well. Taste: 4/5. Really good coffee as well!! ,Nashville,3 - Would visit again if I’m in the area,"231 Sixth Ave N
Nashville, TN  37219
United States",
The Quarters Coffee House,"Vibe: 5 / 5. This place is the perfect working environment. It’s unfortunate that they close early, because if not I’d work here for hours and hours. It’s a residential house (very nice house, might I add) where the bottom floor has been converted into a cafe. Great decor, good vibes, good music. 

Taste: 5 / 5. The coffee was also great, it was a hot day and the iced latte is what I needed. Was not watered down in the slightest.",Bay Area,5 - Would drive many hours to get to this place,"1015 Walnut Ave, Vallejo, CA 94592","{'lat': 38.0992969, 'lon': -122.27365959292662}"
The lighthouse,Vibe: 5/5. This is hidden away between huge corporate buildings but after stepping in you can’t tell you’re in the heart of capitalism. Very cozy and the people are super friendly! Taste: 4/5. I got the raspberry latte which was tasty but the raspberry syrup was a bit overpowering. The coffee taste was pretty enjoyable though. ,Bay Area,4 - Would come again if I’m anywhere in the city,"685 Gateway Blvd
South San Francisco, CA 94080
United States","{'lat': 37.6498475, 'lon': -122.4054413}"
Dr.ink,"Vibe: 5 / 5. Minimalistic, great music, great decor. Good wifi, amazing people. Very good scent. 

Taste: 4 / 5. I got a light sweet matcha which was really good! It was quite foamy, which I personally don’t mind. It tasted great. ",Bay Area,4 - Would come again if I’m anywhere in the city,"77 N Almaden Ave Suite 70, San Jose, CA 95110",
Canteen Coffee,"Vibe: 5 / 5. Super chill, great spot to work. LOVE the decor and everything. Good music, good people.

Taste: 5 / 5. Yes. Love this coffee. Strong espresso taste but not overpowering - didn’t really have notes of anything but super smooth and well made. Love. ",Bay Area,4 - Would come again if I’m anywhere in the city,1300 El Camino Real Suite 100,
Voyager Coffee,"Vibe: 5 / 5. This place reminds me of college. There’s a bunch of people here studying, working, drawing, yapping, and it makes me super nostalgic. A lot of seating, huge windows, great place to spend hours on end. 

Taste: 5 / 5. Their menu has traditional coffee drinks, but has location inspired coffee drinks on top. I got the Manila, which was a Ube + Mango + Coconut drink, which I expected to be very sweet but was incredibly balanced and tasted great. ",Bay Area,4 - Would come again if I’m anywhere in the city,"87 N San Pedro St, San Jose, CA 95110","{'lat': 37.3364297, 'lon': -121.8944297}"
Black Oak Coffee Roasters,"Vibe: 5 / 5. This place was super spacious, well lit, had a super cool backyard and lots of spaces to work. The vibes were high!

Taste: 4 / 5. The coffee was roasted inhouse and tasted great (bold espresso taste + not too milky). ALSO the banana bread was super tasty. ",Bay Area,4 - Would come again if I’m anywhere in the city,"324 Center St, Healdsburg, CA 95448","{'lat': 38.61151995, 'lon': -122.86940535}"
Verve Coffee Roasters,"Vibe: 5 / 5
Love their backyard (except when it’s raining) and there is good indoor space which makes it perfect to work in. Good decor generally and feels like a very cozy place

Taste: 4 / 5
I usually get a cappuccino or latte here, which I enjoy. I just wish the coffee taste was stronger. Consistency and texture wise very nicely balanced. ",Bay Area,3 - Would visit again if I’m in the area,"162 University Ave, Palo Alto, CA 94301","{'lat': 37.4441973, 'lon': -122.16302405047638}"
Cafe Borrone,"Vibe: 4 / 5. Twas poppin! Good natural light, lots of people. Maybe a little too many, might’ve been a little congested but overall quite nice. 

Taste: 4 / 5. Really good coffee, loved the espresso flavor. ",Bay Area,3 - Would visit again if I’m in the area,"1010 El Camino Real, Menlo Park","{'lat': 37.4529058, 'lon': -122.182008}"
Andytown Coffee Roasters ,"Vibe: 5 / 5. Perfect decor! Super cute, lots of outdoor seating, much less indoors though. Cute music, cute setup. Really nice. Taste: 3 / 5. It’s bold. The espresso tastes very strong, which is good. It was a little too milky but generally super well made. ",Bay Area,3 - Would visit again if I’m in the area,"1302 El Camino Real, Menlo Park, CA 94025","{'lat': 37.4553977, 'lon': -122.1862202}"
Mademoiselle Colette,"Vibe: 4 / 5. Super french. Super cafe. Not a work spot, but super chill to come hang out with people. Has outdoor seating. Taste: 4 / 5. Strong espresso taste. Well made. Cheaper than others I’ve had around. ",Bay Area,3 - Would visit again if I’m in the area,"816 Santa Cruz Ave, Menlo Park, CA 94025","{'lat': 37.4508447, 'lon': -122.1853987}"
Red Rock Coffee,"Vibe: 5 / 5. Whatever you’re looking to do, this place is super cool. If you’re there to work, they have an upper area to do just that or if you’re there to hang out they have a bunch of seating. The place is well lit and the staff is very chill.

Taste: 3 / 5. The coffee was okay. The espresso taste was there, but it was a little too milky. ",Bay Area,3 - Would visit again if I’m in the area,"201 Castro St, Mountain View, CA 94041","{'lat': 37.3936438, 'lon': -122.0788638}"
Coffeebar,"Vibe: 5 / 5. Super cool work space! Big windows, good lighting, super spacious. Taste: 3 / 5. Very … basic. Not really a rich taste or make, which is not my vibe. Seems like I could make it. ",Bay Area,2 - Would stop by if I stumble upon this place again,"1149 Chestnut St, Menlo Park, CA 94025","{'lat': 37.4521118, 'lon': -122.1854639}"
Saint Frank’s Coffee,Vibe: 2 / 5: It’s a shack with outdoor seating,Bay Area,2 - Would stop by if I stumble upon this place again,"1018 Alma St, Menlo Park, CA 94025","{'lat': 37.454740900000004, 'lon': -122.18151664999999}"
